name,description,latitude,longitude,category
"San Juan National Forest, CR 302, easy access to Pagosa Springs","San Juan National Forest, CR 302, easy access to Pagosa Springs.",37.26605,-106.91709,Free Camping
"Carson National Forest, Taos, NM, FS 437","Carson National Forest, Taos, NM, FS 437.",36.33165,-105.39366,Free Camping
"Cibola National Forest, off of SR (CO 400), not far from Gallup, NM and Fort Wingate Military Reservation","Cibola National Forest, off of SR (CO 400), not far from Gallup, NM and Fort Wingate Military Reservation.",35.40953,-108.55274,Free Camping
"Coconino National Forest, Wet Beaver Wilderness Area, Montezuma castle NM, Lake Montezume, Rimrock","Coconino National Forest, Wet Beaver Wilderness Area, Montezuma castle NM, Lake Montezume, Rimrock.  ",34.66669,-111.62552,Free Camping
"Free campground in Canyon de Chelly NM,  facilities include flush toilets, picnic tables and drinking water","Free campground in Canyon de Chelly NM,  facilities include flush toilets, picnic tables and drinking water. There are no shower facilities. No fee is required.",36.14735,-109.33895,Free Camping
"San Juan National Forest, Not far from Mesa Verde and Mancos, FS 316","San Juan National Forest, Not far from Mesa Verde and Mancos, FS 316",37.37053,-108.13545,Free Camping
"Manti-La Sal NF, near monticello","Manti-La Sal NF, near monticello",37.86177,-109.43338,Free Camping
"Manti-La Sal NF, near Moab, loop rd, barely off of a fairly busy road","Manti-La Sal NF, near Moab, loop rd, barely off of a fairly busy road.",38.61069,-109.24213,Free Camping
"Manti-La Sal NF, near Moab, gorgeous campsite at the base of Mt","Manti-La Sal NF, near Moab, gorgeous campsite at the base of Mt. Peale, 4wd absolutely required.",38.43295,-109.24349,Free Camping
BLM near Moab,"BLM near Moab. Closest NP is Canyonlands Needles District, (not sure if legal). The Lockhart Rd is open to dispersed camping. The BLM has a camp ground called HAMBURGER ROCK with no facilities excepot pit toilets. DO NOT CROSS INDIAN CREEK WITH YOUR RV! ",38.19067,-109.67056,Free Camping
BLM campsite near Natural Bridges UT,BLM campsite near Natural Bridges UT,37.57053,-109.88304,Free Camping
"Near Capitol Reef National Park, BLM lands, Hall CreekBrimhall Arch overlook, gorgeous views, sunsets, and sunrises, incredible but difficult hike from here into Capitol Reef NP to Brimhal Arch","Near Capitol Reef National Park, BLM lands, Hall Creek/Brimhall Arch overlook, gorgeous views, sunsets, and sunrises, incredible but difficult hike from here into Capitol Reef NP to Brimhal Arch.  Very rough gravel road to overlook, but plenty of camping available on the graded roads nearby.",37.70204,-110.91684,Free Camping
"NPS Capitol Reef, first come first serve, Cathedral Valley, Pit toilets, picnic tables, and fire grates are the only facilities available","NPS Capitol Reef, first come first serve, Cathedral Valley, Pit toilets, picnic tables, and fire grates are the only facilities available. ",38.47462,-111.36826,Free Camping
"NPS Capitol Reef, first come first serve, NPS calls it Cedar Mesa, but my mapping program shows it as Costa Mesa, Pit toilets, picnic tables, and fire grates are the only facilities available","NPS Capitol Reef, first come first serve, NPS calls it Cedar Mesa, but my mapping program shows it as Costa Mesa, Pit toilets, picnic tables, and fire grates are the only facilities available",38.00762,-111.09092,Free Camping
"Dixie NF, FS 087, not far from Bryce Canyon NP","Dixie NF, FS 087, not far from Bryce Canyon NP",37.6604,-112.21749,Free Camping
"Kolob Rd near Zion NP, (not sure this is legal)","Kolob Rd near Zion NP, (not sure this is legal).",37.22817,-113.15605,Free Camping
"BLM free camping SR9 near Zion NP, very busy though, right on river","BLM free camping SR9 near Zion NP, very busy though, right on river.  I would be surprised if this were still open/free due to overuse.  4wd recommended, very sandy and narrow road.

Update: I stayed overnight at this free BLM campsite July 28, 2009 and loved it. Look for mile marker 24 on Utah SR9 about 8 miles from Springdale, UT (entrance to Zion National Park). It does get busier on some weekends but it was great. I swam in the Virgin River and drove my Prius (very slowly) through the sand to a spot 20 feet from the river to pitch my tent. There were some rocks that I had to dodge at the entrance to the campground, and I was very careful to drive in not to soft of sand. My only complaint was the millions of ants in the sand.",37.18898,-113.14246,Free Camping
"Kaibab National Forest, near North Rim Grand Canyon","Kaibab National Forest, near North Rim Grand Canyon.  Area is fairly heavily used, but easy to find a spot nearby.",36.40914,-112.15343,Free Camping
"Mojave National Preserve, near NOTHING, hour and a half from Las Vegas, nearly ran out of gas  No privacy, but plenty of dry camping in the area","Mojave National Preserve, near NOTHING, hour and a half from Las Vegas, nearly ran out of gas!  No privacy, but plenty of dry camping in the area.  Enough room for RVs I would guess in the area.",35.36185,-115.43013,Free Camping
"Joshua Tree National Park, NPS has a number of free campgrounds in J-Tree","Joshua Tree National Park, NPS has a number of free campgrounds in J-Tree.

Joshua Tree NP no longer free.",33.89983,-115.86176,Free Camping
"Sierra National Forest, near Yosemite, Mariposa grove, South Entrance, not a great site, not sure if it was legal","Sierra National Forest, near Yosemite, Mariposa grove, South Entrance, not a great site, not sure if it was legal.  We arrived late at night.  No room for RV if I recall.",37.41443,-119.63531,Free Camping
"Stanislaus National Forest, near Yosemite, Big Oak Flat entrance, approx location","Stanislaus National Forest, near Yosemite, Big Oak Flat entrance, approx location",37.82424,-119.96349,Free Camping
"Shasta National Forest, near Mt","Shasta National Forest, near Mt. Shasta trailhead, lots of cars, climbers ready to climb mt. shasta.  Not sure if legal, but there seemed to be room for RV if I recall.",41.36083,-122.20337,Free Camping
Middle Waddell Campground in Capitol State Forest,Middle Waddell Campground in Capitol State Forest.  Not always open.  Check for status.,46.93918,-123.07712,Free Camping
Vancouver Island on the way to Hwy 14 Victoria BC on the way to the Shipwreck Trail in Pacific Rim National Park,Vancouver Island on the way to Hwy 14 Victoria BC on the way to the Shipwreck Trail in Pacific Rim National Park.  I suspect this is private land and probably NOT legal.  No room for RV. Be careful!!!,48.41862,-124.02397,Free Camping
"Wenatchee National Forest - approx location for camping near Cle Elum and Ellensburg, WA","Wenatchee National Forest - approx location for camping near Cle Elum and Ellensburg, WA.  Don't think there was room for RV here.",47.11306,-120.94386,Free Camping
"Payette National Forest camp spot, near McCall Idaho on the way to Frank Church River of No Return Wilderness Area","Payette National Forest camp spot, near McCall Idaho on the way to Frank Church River of No Return Wilderness Area.",44.93359,-115.94209,Free Camping
"Payette National Forest, middle of no where, right near Frank Church River of No Return Wilderness Area","Payette National Forest, middle of no where, right near Frank Church River of No Return Wilderness Area",44.96375,-115.13387,Free Camping
"Challis National Forest, this is a grassland more than a forest, very steep road to get to it, but nicely gravelled","Challis National Forest, this is a grassland more than a forest, very steep road to get to it, but nicely gravelled.  Recommend 4wd.  I think it is near a radio tower.  Other than that, it was fairly desolate and beautiful.  Not far from Arco ID (Idaho) and Craters of the Moon National Monument.",43.73388,-113.0855,Free Camping
"Teton National Forest, just outside Jackson WY (Wyoming) and National Elk Refuge","Teton National Forest, just outside Jackson WY (Wyoming) and National Elk Refuge",43.50999,-110.63849,Free Camping
"Gallatin National Forest, just outside North entrance to Yellowstone National Park (NPS) in Montana (MT), near Gardiner","Gallatin National Forest, just outside North entrance to Yellowstone National Park (NPS) in Montana (MT), near Gardiner.  Not very private, and not sure if legal.",45.04158,-110.71245,Free Camping
Black Hills National Forest in Wyoming,Black Hills National Forest in Wyoming.  Not too far from Sundance Wyoming (WY) and Devils Tower National Monument (NPS).,44.45126,-104.43022,Free Camping
"Black Hills National Forest, not too far from Custer South Dakota in the heart of the Black Hills","Black Hills National Forest, not too far from Custer South Dakota in the heart of the Black Hills.  Watch out for free roaming cows!",43.7929,-103.67992,Free Camping
"Black Hills National Forest South Dakota, not far from Hot Springs (more like tepid waters) South Dakota","Black Hills National Forest South Dakota, not far from Hot Springs (more like ""tepid waters"") South Dakota. Roadside.",43.37724,-103.53584,Free Camping
"Buffalo Gap National Grassland, South Dakota, near Badlands National Park","Buffalo Gap National Grassland, South Dakota, near Badlands National Park.",43.71266,-102.52087,Free Camping
"Lacreek National Wildlife Refuge South Dakota, Martin South Dakota is probably the closest town","Lacreek National Wildlife Refuge South Dakota, Martin South Dakota is probably the closest town.  In the middle of farmland-- Not great.",43.07079,-101.62028,Free Camping
Free Camping,"St. Croix National Scenic Riverway, not sure if legal, near Rush City and Harris MN (Minnesota).",45.68756,-92.87745,Free Camping
"Camping near International Falls, MN (Minnesota) near Voyageurs National Park","Camping near International Falls, MN (Minnesota) near Voyageurs National Park",48.48857,-93.23056,Free Camping
"Pat Bayle State Forest in Minnesota at Eagle Mountain Trailhead, not sure if legal, near Grand Marais, MN","Pat Bayle State Forest in Minnesota at Eagle Mountain Trailhead, not sure if legal, near Grand Marais, MN.",47.86309,-90.54538,Free Camping
Superior National Forest Campsite near Grand Marias and Boundary Waters Canoe Area MN (Minnesota),Superior National Forest Campsite near Grand Marias and Boundary Waters Canoe Area MN (Minnesota),47.88631,-90.23096,Free Camping
Itch-Kep-Pe City Park is the bank of the Yellowstone River located in a large grove of Cottonwood trees,"Itch-Kep-Pe City Park is the bank of the Yellowstone River located in a large grove of Cottonwood trees. Most sites have picnic tables and fire rings and there are bathroom facilities. The shade and the proximity to the river is what makes this free campground special. Many of the campsites can accommodate large RVs. Columbus is about 40 miles west of Billings on I-90.  (not sure if location is exact, but it is close)",45.6133,-109.266899,Free Camping
"This area is part of the Davy Crockett National Forest, managed jointly with the State of Texas, as a Texas Wildlife Management Area","This area is part of the Davy Crockett National Forest, managed jointly with the State of Texas, as a Texas Wildlife Management Area.  
There are oodles of b'docking spots here.  You'll absolutely love it, unless you make the mistake of trying to camp during hunting season...

Level of confidence: extremely high.  See:
Phone: (936) 569-8547 
Address:
8096 FM 2782
Nacogdoches, TX 75964 
Contact: Adam Terry 

Dates Open: Open year round

Camping

Camping Permitted
Users may not camp or build a fire anywhere other than in a designated campsite.
Users may not cause, create, or contribute to excessive or disturbing sounds beyond the person's immediate campsite between the hours of 10 p.m. and 6 a.m.
Users may not establish a camp and leave it unattended for a period of longer than 24 hours.
Users must remove refuse from the area upon departing.
Cutting of firewood is prohibited.
There are several designated primitive campsites available. Camping during deer season is restricted to designated campsites. Check with the Area manager for specific information.

For information from the US Forest Service: Davy Crockett National Forest Service

02/28/2012 - UPDATE - We just passed through and found just about all of Davy Crockett closed due to storm damage from last April (2011). Because of this we found Angelina National Forest pay sites open for free.


",31.22,-94.97,Free Camping
"Osceola National Forest USFS - near Lake City, FL - tons of boondocking possibilities for vehicles of all sizes","Osceola National Forest USFS - near Lake City, FL - tons of boondocking possibilities for vehicles of all sizes.  Completely flat, the area is riddled with roads, and some aren't on any maps.  Easy to find very private sites.  Heavily used by hunters in the winter.  Easy to get lost!  Be sure to use a map/GPS.  Fires are likely prohibited due to high fire danger.  Close to I-10 and I-75 junction in Florida.  This particular location was off of a unmarked unmapped 4wd road and is hardly a pulloff (but there wasn't any traffic either!)  Not a good site during high water.",30.24895,-82.46065,Free Camping
"Crystal Hill, Kofa National Wildlife Preserve, AZFree area, 6 miles east of US95, south of Quartzsite","Crystal Hill, Kofa National Wildlife Preserve, AZ
Free area, 6 miles east of US95, south of Quartzsite. Watch for signs on highway. Good camping sites, no services.",33.59,-114.19,Free Camping
"In front of the Ste-Anne-De-Beaupre Shrine, near the river","In front of the Ste-Anne-De-Beaupre Shrine, near the river",47.0222,-70.925,Free Camping
"Behind the Cap-De-La-Madeleine Shrine, near the river","Behind the Cap-De-La-Madeleine Shrine, near the river",46.3661,-72.4972,Free Camping
A flat spot next to the road into the Painted Hills unit of the John Day Fossil Beds Natl Monument,"A flat spot next to the road into the Painted Hills unit of the John Day Fossil Beds Nat'l Monument.  Pickup campers, small trailers won't have problems, but might not be too easy for big rigs.  Next to a small creek, and is 1 mile from main highway via paved road.  No facilities of any kind.

44 deg 36.763 min N
120 deg 12.656 min W",44.61272,-120.21093,Free Camping
On BLM land,"On BLM land.  Oak forest and grassland.  Just a few miles from I-5 north of Red Bluff.  Exit at Jelly's Ferry.  Turn on Bend Road.  Follow signs to Payne's Creek Recreation Area.

Town of Bend is a general store and a few scattered ranches.

There are only a few locations in this parcel of BLM land open to camping.  Vehicles are not allowed off the roads.  This spot is called Perry Riffle and is a large turnaround at the end of a maintained gravel road.  A short trail leads to the Sacramento River.  Open fires not allowed during summer.  No toilets.  Must be self contained.

Another location nearby (< 1 mile) on road to Massacre Flat CG.  Gravel road to Massacre Flat changes to rough 4wd road after 1/4 mile.  You can self-contained camp at turnaround where gravel changes to 4wd.",40.295,-122.178,Free Camping
"Zig Zag, Oregon","Zig Zag, Oregon. A large open space next to the Subway Rest.  The folks at the local market directed me there.  ""Saying that where everyone stops.""   On highway 26 from Portland that goes through Sandy, Government Camp on to Madras and central, eastern and southern Oregon. ",45.34397,-121.944432,Free Camping
Las Cienegas Natural Conservation Area(Empire Ranch) BLM Land  FreeTake I-10 East from Tucson and turn off at Exit 281 (Route 83 Sonoita-Patagonia Highway South),"Las Cienegas Natural Conservation Area(Empire Ranch) BLM Land  Free
Take I-10 East from Tucson and turn off at Exit 281 (Route 83 Sonoita-Patagonia Highway South). Travel south on Route 83 for about 19 miles and watch for the green and white milepost 40 sign along the right side of the road. Approximately 1/4 mile past milepost 40, turn left into Las Cienegas(Empire Ranch Road). The road is dirt and has some ""washboarding"" so don't go too fast. At about the 2.9 mile point there will be a fork in the road. Stay to the right. When the road ends in a ""T"", take a left. You will cross a concrete section of the road down in a wash. Just up the hill from the wash (about .2 mile), turn left. Just ahead of you (.1 mile) will be the end of an abandoned airstrip where the most level sites are found.

NOTE: location may not be exact and is unverified.",31.8,-110.65,Free Camping
Alvord DesertA huge desert dry lake about 6 miles by 12 miles,"Alvord Desert
A huge desert dry lake about 6 miles by 12 miles. Awesome views. Hot spring nearby. Cold drinking water spring nearby. On BLM land. The road going down to the lakebed from the main road is a bit rough. You can use the driveway that runs by the only house you'll see, it's much smoother. ",42.51182,-118.53002,Free Camping
"Very nice camping spot located in the Cimarron National Grasslands, KS","Very nice camping spot located in the Cimarron National Grasslands, KS.  Easily accessible any time of the year.  Camping allowed most anywhere throughout park.  This campsite is in a small basin, which shelters you somewhat from the winds.",37.15659,-101.79614,Free Camping
Great roadside spot-- It is on a little rise and has a nice view of the Sonoran Desert,"Great roadside spot-- It is on a little rise and has a nice view of the Sonoran Desert.  Unpaved, it is just a roadside pullout with a nice view. There is easy off easy on pullthrough access.  Enough room for the largest rigs.  Slightly off camber. Be aware you are near Mexico and may enounter illegals hitchiking along the road.  They are harmless and only want water or food.",32.08909,-108.97292,Free Camping
"Blackwater State ForestCampsite - not very level, near a great walk-in river tent site","Blackwater State Forest
Campsite - not very level, near a great walk-in river tent site. Off of a sand road near Blackwater River State Park, Milton, FL.",30.713983,-86.860046,Free Camping
"Radium Springs, NM BLM access","Radium Springs, NM BLM access.  If heading North on 185, it's the green gate on your right just past Broad Canyon.  Outside of Las Cruces, NM.  Open the green gate here near river to access free camping beyond.  Some of the short sandy roads are too windy for RV's and possibly trailers.  Common BLM practice:  if gate was closed, keep it closed.  If it was open, keep it open.",32.534065,-106.990135,Free Camping
"Near Capitol Reef, Fremont River BLM lands","Near Capitol Reef, Fremont River BLM lands.  There are many spots, some big enough for RVs and trailers.  Some roads may be impassable when wet.  This is off of the road to Cathedral Valley in Capitol Reef.",38.275318,-111.08152,Free Camping
"Near Chiricahua National Monument, Coronado National Forest off of FS42 Pinery Canyon Rd, no trailers or large vehicles","Near Chiricahua National Monument, Coronado National Forest off of FS42 Pinery Canyon Rd, no trailers or large vehicles.  Lots of gravel road.  This particular spot is a little pulloff, but there is likely more up the road.  Warning: Near an active area of the Mexican border.",31.9706,-109.338119,Free Camping
Near Arizona Snowbowl and Humphreys Peak,"Near Arizona Snowbowl and Humphreys Peak.  Coconino National Forest FS 522.  This site is number 6 of 14 designated free sites.  Rough rd, not level.  Be sure to approach from the paved Arizona Snowbowl Rd (NF 516) or have 4wd high clearance and lots of patience on some very rough roads.",35.291901,-111.677963,Free Camping
CooperHightowerCamping spot,"Cooper/Hightower/Camping spot.  North Georgia Mountains near AT, Springer Mtn, Three Forks.  Huge camping area, loop rd pulloff.",34.660149,-84.117134,Free Camping
"AT hiking nerby, CooperHightowerKnob Pulloff, 4wd rd beyond to private knob camping spot","AT hiking nerby, Cooper/Hightower/Knob Pulloff, 4wd rd beyond to private knob camping spot",34.658867,-84.095734,Free Camping
"AT hiking nearby, CooperHightower rds, pulloff near a rock that drips during wet weather","AT hiking nearby, Cooper/Hightower rds, pulloff near a rock that drips during wet weather.",34.656765,-84.089447,Free Camping
AT crosses right near this free campspot near CooperHightower and Horse Gap,AT crosses right near this free campspot near Cooper/Hightower and Horse Gap.  There is a pulloff w/fire ring.,34.656918,-84.107231,Free Camping
Coronado NF near Rucker Canyon,Coronado NF near Rucker Canyon. Lots of gravel rds in the area for dispersed camping.  There are some pay campgrounds up the road too.,31.7693,-109.340332,Free Camping
East of the south end of Death Valley National Park,"East of the south end of Death Valley National Park.  BLM.  Furnace Creek Wash Rd.  The area isn't used very heavily; used a little pulloff on the rd, very little traffic.  Road is passable for RVs, but large vehicles might have a hard time finding a pulloff big enough without doing lots of destruction.",35.950367,-116.368217,Free Camping
Outside Death Valley National Park on BLM lands near Scotty Castle,Outside Death Valley National Park on BLM lands near Scotty Castle.  Some areas on this road are passable to RVs and trailers.,37.073868,-117.26223,Free Camping
"Inside Death Valley National Park, on the Racetrack Road at Teakettle Jctn","Inside Death Valley National Park, on the Racetrack Road at Teakettle Jctn.  Nice large area for a vehicle or two.  Very few pulloffs available though on this road.  High clearance is required.  You'll need a stout vehicle to make this trip.  Heavy duty short trailers might be ok, but RVs would not.  This road has the WORST washboarding I have ever experienced and cause multiple broken vehicle stearing and suspension.  Bring plenty of water in case you are stranded.  Also, plenty free camping at Homestake Dry Camp at the end of the road.  Homestake has pit toilets.  The racetrack playa is pretty cool though and worth the trouble. ",36.76025,-117.541931,Free Camping
"Chatahoochee National Forest, off of FS 80, camp spot w tent pad","Chatahoochee National Forest, off of FS 80, camp spot w tent pad. Near Camp Wasegah and Camp Merril I think.  Inbetween and North of a line between Dahlonegah and Amicalola State Park.",34.610767,-84.096199,Free Camping
"Free Gila NF Campground near Gila Cliff Dwellings and Gila Hot Springs, NM","Free Gila NF Campground near Gila Cliff Dwellings and Gila Hot Springs, NM.  free camping above and on river, with pit toilets.  Some areas have very rough rd, but should be accessible to some shorter RVs/trailers if you stay close to pavement.",33.183998,-108.206016,Free Camping
Gila National Forest FS150 road,"Gila National Forest FS150 road.  Graded gravel road, but still rough in spots.  Tight turns means no RVs and trailers.  Tons of areas to camp along this road.  This spot had a huge fire reflector.",33.0737,-108.009148,Free Camping
Near Joshua Tree National Park Cottonwood Springs,"Near Joshua Tree National Park Cottonwood Springs.  BLM lands Within sight of interstate, but road noise not too bad.  RVs and trailers should be fine, but flat lands on the bajada (sloping desert floor) aren't easy to find.",33.674118,-115.805634,Free Camping
Costs  10 for up to 7 days in the park,"Costs  $10 for up to 7 days in the park.

Lake Mead, LaMe Callville Camp, 4wd required, not sure if legal.  A few spots after rough 4wd sections of road.  There are 2 more areas just west of this area. Lower government wash and 8.0 Road. Both have tons of boondocking. 4WD recommended, but not entirely necessary.",36.180485,-114.73703,Free Camping
"Outside Las Cruces, NM, Baylor Canyon area appears to be BLM land with plenty of spots for overnight camping","Outside Las Cruces, NM, Baylor Canyon area appears to be BLM land with plenty of spots for overnight camping.",32.342983,-106.612915,Free Camping
"Los Padres NF Sierra Madre Campsite, nice, but small pulloff on NF32S13, overlooking highway 166 below","Los Padres NF Sierra Madre Campsite, nice, but small pulloff on NF32S13, overlooking highway 166 below.  Between Santa Maria, CA and Taft, CA.  Road is too rough/twisty with no turnarounds for RVs or trailers.",35.101032,-120.083298,Free Camping
"Near Montezumas Castle National Monument, Camp Verde, AZ, Coconino National Forest, High clearance needed","Near Montezuma's Castle National Monument, Camp Verde, AZ, Coconino National Forest, High clearance needed.",34.542515,-111.750366,Free Camping
"Mt Carmel, UT","Mt Carmel, UT.  BLM Camp off US 89.  A number of spots available in the area on the copious amounts of BLM land in the area, some accessible to RVs.  Inbetween Zion, Grand Staircase-Escalante, and Coral Pink Sand Dunes.",37.207149,-112.675499,Free Camping
"Near Organ Pipe Cactus National Monument, Why, AZ","Near Organ Pipe Cactus National Monument, Why, AZ.  Plenty of free camping just outside the park.  Registration is required if there is a camp host around.  This particular spot is the Wild Woman campsite, one of the nicest free spots I've been in, right under a beautiful old ironwood tree. Requires some clearance, but other sites in the area are easily accessible to RVs and trailers.  Good dirt roads, but could be dangerous during flood season. ",32.243915,-112.769653,Free Camping
"Osceola National Forest USFS - near Lake City, FL -  Completely flat, the area is riddled with roads, and some arent on any maps","Osceola National Forest USFS - near Lake City, FL -  Completely flat, the area is riddled with roads, and some aren't on any maps. Easy to find very private sites. Heavily used by hunters in the winter. Easy to get lost! Be sure to use a map/GPS. Fires are likely prohibited due to high fire danger. Close to I-10 and I-75 junction in Florida.  When the water is up, sometimes finding camping can be more difficult though.  This site was better during high water.",30.249783,-82.454834,Free Camping
"Near Carlsbad, NM and Carlsbad Caverns National Park, BLM, two camping spots near the Park Ranch Cave Complex, two designated free campsites with fire rings","Near Carlsbad, NM and Carlsbad Caverns National Park, BLM, two camping spots near the Park Ranch Cave Complex, two designated free campsites with fire rings.  To access, look for dirt road heading East off US 62 near mile marker 10.  Upon heading over cattle grate, head North to a gate (closed last I checked).  Pass through gate (close behind you), then head East along the fence.  The road will leave the fence and eventually you'll see two fenced in areas where the caves are.  Look for the two campsites/fire rings nearby.  High clearance recommended.  There may be cows in the area.  Common BLM practice: if gate was closed, keep it closed. If it was open, keep it open.",32.109535,-104.406982,Free Camping
South end of Petrified Forest National Park,"South end of Petrified Forest National Park.  The Crystal Forest Trading Post offers free camping if you don't use hookups.  Not sure about the toilet/bathroom situation.

Clean RV park is right at the intersection of Ariz. Route 180 and the south entrance to Petrified Forest National Park, 19 miles southeast of Holbrook. Aprox 6 level, gravel pads with 30-amp electric hookups, plus additional space dispersed camping. Dispersed camping is free, but hookups cost $10 a night. There is no shade anywhere on the park. A trading post across the street also offers a free stay with a purchase of $20 or more.",34.792751,-109.890663,Free Camping
"TX 188, on the way from Alpine, TX to Big Bend National Park","TX 188, on the way from Alpine, TX to Big Bend National Park.  Near Elephant Mountain State Wildlife Management Area (which charges for camping).  Nice picnic spot area that allows overnight parking, but no ""structures"" are allowed (tents?).  Texas allows overnight stays (36 hours).  Of course, many of their picnic/rest areas have no toilets and this one was no exception.  Accessible to most vehicle types.

Note: While camping there, police pulled into the picnic grounds, shine a bright light on my vehicle, and then, after seeing movement in the vehicle, leave... probably just making sure the vehicle wasn't abandoned.",30.044067,-103.571999,Free Camping
Pike National Forest USFS Rampart Range Rd,"Pike National Forest USFS Rampart Range Rd.  We parked at this pulloff overnight in the winter (down to 10 degrees!).  There may be different regulations in the summer. There was a pit toilet. Staging / parking for OHV area at hwy 67 and rampart range rd. OHV riding area south.... with lots of camping. 
Rampart range road south closes in winter.
Open to street legal vehicles in summer.",39.376865,-105.094437,Free Camping
"Near Sedona, AZ, Coconino National Forest USFS","Near Sedona, AZ, Coconino National Forest USFS.  Off FS 525, high clearance, probably impasable when wet.  Note that around the high-traffic area of Sedona, no free camping is allowed.  Hit the National Forest visitor center in Oak Creek, AZ for free maps detailing where boondocking is allowed.",34.829651,-111.917351,Free Camping
"Stover ParkLegion Dr in Stover, MO","Stover Park/Legion Dr in Stover, MO.  This is a little city park.  Should be accessible to all vehicle types. 3 day limit.  You should check with locals, but I think this means free camping.  If you discover otherwise, please edit.",38.4454,-92.995132,Free Camping
"Truth or Consequences, NM","Truth or Consequences, NM.  Right across from town on Rio Grande river, verified free w/police officer Callaway (always ask the locals!), but trashed.  If memory serves, easily accessible on graded gravel road.  Probably not enough room for an RV though.",33.117451,-107.254967,Free Camping
